Column1;Column2;Column3;Column4;Column5;Column6;Column7
;SlHa1;SlHa2;SlHa3;Ctr1;Ctr2;Ctr3
PITA_06895;3.23072792614621;0;1.68987362903386;1.26103506817072;1.85923422272376;1.16282317525412
PITA_07042;3.80764362724375;3.18951290410967;3.43607637903552;4.86399240580135;6.45839256314569;7.64140943738419
PITA_23204;8.99988493712159;23.7087125872152;6.98481100000663;9.09746727751734;17.6137978994883;12.8741137260277
PITA_29838;3.92302676746326;4.57163516255719;4.61898791935922;8.19672794310969;6.94766472702037;6.14635106920033
PITA_18050;58.6146352315098;54.1154022730607;50.2455759032735;68.7264112153043;60.6697483204595;70.7660960940362
PITA_22122;50.9993479770223;32.9583000091332;39.655701161328;58.2778349361755;42.5666782570966;60.5498639114465
PITA_21755;367.84145101979;426.969460763481;417.060811645557;395.694789605284;420.676206499444;419.945283863201
PITA_47278;15.230574508975;11.0569780675802;13.1810143064641;26.932106098789;34.7383236351018;13.2063489189575
PITA_35645;120.229232108727;149.588155202743;148.20191726627;129.976685955025;148.249465654026;138.625134249937
PITA_37364;6.23068957185341;10.9506609707765;16.1101285967895;8.37687580999122;10.470424306918;13.0402313224926
PITA_02457;3.34611106636572;10.4190754867582;3.83038022581009;7.20591467526126;13.2103484246162;3.90376351692453
PITA_26740;7.15375469360947;7.01692838904127;11.2658241935591;13.8713857498779;3.03348741602298;11.2959965596114
PITA_39318;28.3842524939989;39.8689113013709;37.2335489597128;22.2482615598691;33.5640704418026;17.4423476288117
PITA_02316;3.80764362724375;4.35900096894988;3.88670934677788;3.1525876704268;4.40344947487206;4.56823390278403
PITA_07150;42.3456124605593;98.3433145433814;54.244943491987;38.2814217123255;66.2474509886308;73.6731540321715
PITA_36141;93.4603435778011;140.551201974433;86.183555080727;75.1216604895987;104.410679770855;90.5340900733562
PITA_17428;0.46153256087803;1.38212225844752;0;2.25184833601914;0.782835462199478;1.07976437702168
PITA_03638;8.76911865668257;3.18951290410967;10.5898747419455;10.4485762791288;5.47984823539635;6.81082145505982
PITA_11901;10.3844826197557;21.6886877479457;8.11139341936254;15.762938352134;11.2532597691175;16.1134068570928
PITA_23845;5.30762445009735;4.89058645296816;7.66076045162017;4.77391847236059;4.30559504209713;7.30917424445445
PITA_21434;17.6536204535847;4.7842693561645;5.97088682258631;6.75554500805743;8.51333565141932;0.747529184091932
PITA_43036;124.844557717507;162.452523915986;135.92216889529;122.410475546001;170.168858595612;91.1155016609833
PITA_25824;3.57687734680473;4.99690354977181;9.23797583871845;4.77391847236059;6.16482926482089;10.3823497790546
PITA_17222;26.1919728298282;26.5792742009139;27.1506363064774;13.4210160826741;16.2438358406392;18.1068180146712
PITA_47646;5.07685816965833;5.63480613059375;2.02784835484063;1.62133080193378;5.67555710094622;0.498352789394621
PITA_26431;2.07689652395114;3.40214709771698;6.42151979032868;10.2684284122473;10.7639876052428;6.64470385859495
PITA_15813;8.42296923602405;9.14327032511438;7.43544396774899;8.01658007622816;7.63264575644491;9.55176179673024
