Column1;SlHa1;SlHa2;SlHa3;Ctr1;Ctr2;Ctr3
PITA_26994;885;1205;1903;863;831;737
PITA_17733;157;140;351;190;160;208
PITA_27948;392;572;603;310;479;403
PITA_38968;68;44;201;115;126;27
PITA_14794;0;1;0;0;0;0
PITA_19439;0;0;1;1;2;1
PITA_39468;0;0;2;0;0;0
PITA_07422;1;1;0;0;2;0
PITA_10511;2;5;7;3;0;2
PITA_07373;1;0;1;0;0;0
PITA_10948;194;428;436;250;258;466
PITA_26687;0;0;0;0;0;0
PITA_47487;120;97;118;123;80;132
PITA_38099;2;2;0;4;1;0
PITA_27247;15;53;64;10;33;19
PITA_43438;5;5;23;51;13;32
PITA_38036;1;0;0;0;1;1
PITA_03205;0;1;0;0;0;1
PITA_34018;6;6;10;2;1;0
PITA_27126;334;269;575;371;425;166
PITA_12051;1;6;4;21;4;2
PITA_02723;336;663;821;440;493;592
PITA_16686;630;302;982;863;685;924
PITA_38992;0;0;0;0;0;0
PITA_09760;0;0;0;0;3;0
PITA_09143;0;0;0;0;0;0
PITA_31680;283;412;620;330;328;421
PITA_27490;0;0;0;0;0;0
PITA_29841;129;203;371;182;188;264
PITA_31888;4;5;5;3;2;2
PITA_33044;0;0;0;0;0;0
PITA_04928;0;0;0;0;0;1
PITA_16613;16;3;18;10;17;17
PITA_24885;51;7;93;73;15;14
PITA_34388;1;3;7;2;0;1
PITA_18350;5;0;10;9;0;0
PITA_38586;0;0;0;0;0;0
PITA_41158;9;18;20;15;12;25
PITA_10294;633;726;1505;845;842;998
PITA_43889;0;0;0;0;0;0
PITA_38619;3;1;5;17;3;6
PITA_07587;4;4;16;3;1;8
PITA_22218;1835;1856;2802;2988;2416;1979
PITA_29700;0;4;0;0;0;0
PITA_18476;2;8;4;2;2;2
PITA_48079;0;0;0;0;0;11
PITA_25567;0;0;0;0;0;0
PITA_35806;36;64;89;53;11;30
PITA_47584;0;0;0;0;0;0
PITA_18174;84;73;199;125;127;81
PITA_25343;214;41;269;614;480;169
PITA_00696;0;2;7;4;1;1
PITA_15981;0;0;0;0;0;0
PITA_39738;529;742;1051;597;715;745
PITA_50711;0;0;0;0;0;0
PITA_10368;0;0;0;0;0;0
PITA_03622;2;3;9;0;2;4
PITA_39725;65;49;202;90;146;27
PITA_14103;0;1;5;1;6;1
PITA_00365;65;11;48;30;11;11
